Lemma,Sense Key,Definition,Frequency
gerind,gerund%1:10:00::,a noun formed from a verb (such as the `-ing' form of an English verb when used as a noun),7
inne,quality%1:09:00::,a characteristic property that defines the apparent individual nature of something,10
dílse,propriety%1:07:00::,correct or appropriate behavior,5
accomol,junction%1:06:00::,the place where two or more things come together,5
dechor,distinguish%2:31:00::,mark as different,3
persan,person%1:08:00::,a human body (usually including the clothing),34
nert,strength%1:07:00::,the property of being physically or mentally strong,3
doformaig,increase%2:30:00::,become bigger or greater in amount,3
déde,pair%1:14:00::,two people considered as a unit,3
la,have%2:42:00::,have as a feature,4
tormach,addition%1:04:02::,the act of adding one thing to another,5
cíall,meaning%1:09:00::,the idea that is intended,13
cétnaide,primitive%5:00:01:early:02,little evolved from or characteristic of an earlier ancestral type,3
aitherrechtaigthe,patronymic%1:10:00::,a family name derived from name of your father or a paternal ancestor (especially with an affix (such as -son in English or O'- in Irish) added to the name of your father or a paternal ancestor),5
macc,son%1:18:00::,a male human offspring,4
aittrebthach,possessive%3:01:00::,serving to express or indicate possession,12
mascul,masculine%1:10:00::,a gender that refers chiefly (but not exclusively) to males or to objects classified as male,8
attá,there%4:02:00::,in or at that place,6
ríagolda,regular%5:00:00:standard:02,conforming to a standard or pattern,6
dogní,make%2:30:00::,give certain properties to something,8
íar,afterwards%4:02:00::,happening at a time subsequent to a reference time,5
accomol,combination%1:14:00::,a collection of things that have been combined; an assemblage of separate parts or qualities,5
adtreba,possess%2:40:00::,have ownership or possession of,7
ilar,plural%1:10:00::,the form of a word that is used to denote more than one,17
cenél,race%1:14:00::,people who are believed to belong to the same genetic stock,3
fodail,distinction%1:09:00::,a discrimination between things as different and distinct,3
tairmḟorcend,termination%1:28:00::,a coming to an end of a contract period,6
ad,there%4:02:00::,in or at that place,3
cosmailius,similarity%1:07:00::,the quality of being similar,5
aittrebthach,possessive%1:10:00::,the case expressing ownership,4
delb,form%1:09:00::,a perceptual structure,3
sain,different%5:00:00:unusual:00,differing from all others; not ordinary,3
téit,end%2:42:00::,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical",4
dechor,distinction%1:09:00::,a discrimination between things as different and distinct,5
ingen,daughter%1:18:00::,a female human offspring,5
atrab,possession%1:03:00::,anything owned or possessed,7
posit,positive%5:00:00:advantageous:00,involving advantage or good,7
día,god%1:18:01::,any supernatural being worshipped as controlling some part of the world or some aspect of life or who is the personification of a force,7
cía,even%4:02:00::,used as an intensive especially to indicate something unexpected,7
comparit,comparative%1:10:00::,the comparative form of an adjective or adverb,5
ranngabál,participle%1:10:00::,a non-finite form of the verb; in English it is used adjectivally and to form compound tenses,9
doróscai,surpass%2:42:00::,distinguish oneself,3
la,have%2:40:00::,"have or possess, either in a concrete or an abstract sense",3
superlait,superlative%1:10:01::,the superlative form of an adjective or adverb,4
íar,accord%2:42:00::,go together,6
neutur,neuter%1:10:00::,a gender that refers chiefly (but not exclusively) to inanimate objects (neither masculine nor feminine),22
úathad,singular%1:10:00::,the form of a word that is used to denote a singleton,8
áirem,number%1:23:00::,a concept of quantity involving zero and units,5
coindelg,comparison%1:04:00::,the act of examining resemblances,3
becc,less%3:00:00::,(comparative of `little' usually used with mass nouns) a quantifier meaning not as great in amount or degree,3
posit,positive%1:10:00::,"the primary form of an adjective or adverb; denotes a quality without qualification, comparison, or relation to increase or diminution",4
éicen,necessary%5:00:00:inevitable:00,unavoidably determined by prior circumstances,3
dígbál,diminution%1:22:00::,change toward something smaller or lower,3
dígabthach,diminutive%1:10:00::,a word that is formed with a suffix (such as -let or -kin) to indicate smallness,8
desimrecht,example%1:09:02::,a representative form or pattern,5
asbeir,say%2:32:00::,express in words,3
techtaid,have%2:40:00::,"have or possess, either in a concrete or an abstract sense",4
inne,meaning%1:09:00::,the idea that is intended,6
ar,therefore%4:02:00::,(used to introduce a logical conclusion) from that fact or reason or as a result,13
lainne,eagerness%1:12:00::,a positive feeling of wanting to push ahead with something,3
tánaise,second%5:00:00:ordinal:00,coming next after the first in position in space or time or degree or magnitude,11
tuisel,case%1:10:00::,nouns or pronouns or adjectives (often marked by inflection) related in some way to other words in a sentence,14
adcomla,join%2:35:01::,cause to become joined or linked,6
bríathar,verb%1:10:01::,the word class that serves as the predicate of a sentence,30
ó,derive%2:30:01::,come from,5
gréc,greek%3:01:01::,of or relating to or characteristic of Greece or the Greeks or the Greek language,9
ben,goddess%1:18:00::,a female deity,3
grés,always%4:02:00::,at all times; all the time and on every occasion,5
aiccent,accent%1:10:02::,a diacritical mark used to indicate stress or placed above a vowel to indicate a special pronunciation,8
asbeir,say%2:32:02::,"speak, pronounce, or utter in a certain way",7
inunn,same%3:00:02::,same in identity,5
arsaid,ancient%1:18:00::,a person who lived in ancient times,6
sainred,peculiar%5:00:00:specific:00,unique or specific to a person or thing or category,5
fír,true%5:00:02:faithful:00,devoted (sometimes fanatically) to a cause or concept or truth,4
léigend,read%2:31:00::,interpret something that is written or printed,3
aicned,nature%1:07:02::,the essential qualities or characteristics by which something is recognized,4
inderb,uncertain%3:00:01::,not established beyond doubt; still undecided or unknown,4
máthair,mother%1:18:00::,a woman who has given birth to a child (also used as a term of address to your mother),3
is,be%2:42:00::,"have an existence, be extant",16
inderbus,uncertainty%1:09:00::,the state of being unsure of something,3
derc,squinter%1:18:00::,a person with strabismus,3
fili,poet%1:18:00::,a writer of poems (the term is usually reserved for writers of good poetry),4
cenél,gender%1:10:00::,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness,14
ith,corn%1:13:00::,ears of corn that can be prepared and served for human food,3
dano,then%4:02:01::,at that time,3
dogní,make%2:36:09::,create by artistic means,4
sluindid,signify%2:32:02::,denote or connote,7
asbeir,say%2:32:03::,express a supposition,5
aimser,time%1:28:06::,a suitable moment,3
slond,express%2:32:01::,give expression to,3
aimser,time%1:03:00::,the continuum of experience in which events pass from the future through the present to the past,7
barr,helmet%1:06:01::,armor plate that protects the head,3
cucann,provision%1:10:00::,a stipulated condition,3
áram,number%1:23:00::,a concept of quantity involving zero and units,6
ilar,plural%3:00:00::,grammatical number category referring to two or more items or units,3
asingaib,provide%2:32:00::,"determine (what is to happen in certain contingencies), especially by including a proviso condition or stipulation",3
tuisel,case%1:11:00::,an occurrence of something,3
fadesin,own%5:00:00:personal:00,belonging to or on behalf of a specified person (especially yourself); preceded by a possessive,6
óg,integral%1:09:00::,the result of a mathematical integration; F(x) is the integral of f(x) if dF/dx = f(x),3
tobarthaid,dative%1:10:00::,the category of nouns serving as the indirect object of a verb,6
forgnúis,form%1:09:00::,a perceptual structure,3
gním,active%3:00:03::,disposed to take action or effectuate change,4
césad,passive%3:00:01::,lacking in energy or will; - George Meredith,5
deired,end%1:09:00::,a final part or section,3
fers,verse%1:10:01::,a line of metrical text,4
attá,be%2:42:00::,"have an existence, be extant",3
tóbae,concision%1:10:00::,terseness and economy in writing and speaking achieved by expressing a great deal in just a few words,3
lam,handkerchief%1:06:00::,a square piece of cloth used for wiping the eyes or nose or as a costume accessory,4
fochslaid,ablative%3:01:00::,relating to the ablative case,3
aricc,find%2:39:02::,"discover or determine the existence, presence, or fact of",5
gním,action%1:04:02::,something done (usually as opposed to something said),16
mod,mode%1:07:00::,how something is done or how it happens,3
césad,passion%1:12:02::,a feeling of strong sexual desire,6
césad,passive%5:00:00:nonviolent:00,peacefully resistant in response to injustice,6
taidbsiu,show%2:31:00::,"establish the validity of something, as by an example, explanation or experiment",6
imḟognam,construction%1:04:00::,the act of constructing something,5
frecndairc,present%3:00:01::,temporal sense; intermediate between past and future; now existing or happening or in consideration,12
frecndairc,present%1:28:00::,the period of time that is happening now; any continuous stretch of time including the moment of speech,3
persan,person%1:10:00::,"a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party",15
comṡuidigud,composition%1:04:01::,the act of creating written works,4
frecndairc,present%3:00:02::,being or existing in a specified place,4
remṡuidigud,preposition%1:10:00::,a function word that combines with a noun or pronoun or noun phrase to form a prepositional phrase that can have an adverbial or adjectival relation to some other word,6
méit,only%4:02:01::,without any others being included or involved,3
cétnaide,primitive%1:18:00::,a person who belongs to an early stage of civilization,4
díṡruthigthe,derivative%1:09:00::,the result of mathematical differentiation; the instantaneous change of one quantity relative to another; df(x)/dx,3
cétnaide,primitive%5:00:02:early:02,belonging to an early stage of technical development; characterized by simplicity and (often) crudeness,3
loc,place%1:15:00::,a point located with respect to surface features of some region,3
amal,thus%4:02:01::,in the way indicated; ; ; (`thusly' is a nonstandard variant),4
cinniud,definition%1:10:00::,a concise explanation of the meaning of a word or phrase or symbol,3
foillsigud,demonstration%1:10:03::,proof by a process of argument or a series of proposition proving an asserted conclusion,4
rann,part%1:09:02::,that which concerns a person with regard to a particular role or situation,5
s_2,therefore%4:02:00::,(used to introduce a logical conclusion) from that fact or reason or as a result,3
grácad,croak%2:32:01::,"utter a hoarse sound, like a raven",4
